variant,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
vol_3x,IS,375,125,250,33.33,37809.0,-9791.0,29.8,1.93,2278318.0,10.72,0.79,17.46,0.61,1662527.0
vol_3x,OOS,305,116,189,38.03,28487.0,-12010.0,23.6,1.46,1034707.0,26.79,1.43,12.85,2.08,2036000.0
target_30pct,IS,363,115,248,31.68,32492.0,-9522.0,26.3,1.58,1375236.0,13.55,0.94,20.3,0.67,1886603.0
target_30pct,OOS,287,107,180,37.28,29646.0,-12210.0,27.2,1.44,974432.0,25.52,1.29,14.67,1.74,1975658.0
baseline_252_25pct_8pct,IS,403,135,268,33.5,38611.0,-9855.0,28.5,1.97,2571338.0,12.53,0.88,19.26,0.65,1803195.0
baseline_252_25pct_8pct,OOS,317,115,202,36.28,27747.0,-11772.0,23.9,1.34,812965.0,22.0,1.17,15.0,1.47,1814122.0
