variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
baseline_252_25pct_8pct,719,249,470,34.63,39467.0,-15498.0,20.5,1.35,2543125.0,17.15,1.06,19.26,0.89,3545396.0
vol_2x,765,262,503,34.25,41496.0,-16174.0,20.1,1.34,2736539.0,17.93,1.07,17.02,1.05,3738927.0
vol_3x,678,240,438,35.4,37802.0,-14756.0,20.7,1.4,2609177.0,17.42,1.11,17.46,1.0,3611470.0
target_30pct,650,222,428,34.15,42378.0,-15428.0,23.4,1.42,2804866.0,18.2,1.1,20.3,0.9,3807245.0
target_20pct,808,292,516,36.14,29713.0,-13174.0,17.5,1.28,1878228.0,14.14,0.93,19.38,0.73,2880098.0
cost_50bps,719,248,471,34.49,36077.0,-14562.0,20.5,1.3,2088523.0,15.16,0.95,20.37,0.74,3091817.0
