symbol,bars_count,avg_turnover_cr,circuit_count,atr_pct,included,exclusion_reason
AAKASH,1918,0.0692,0,0.05472,N,TURNOVER_TOO_LOW
AARON,1830,0.2001,0,0.04503,N,TURNOVER_TOO_LOW
AARVI,2007,0.3554,0,0.04585,N,TURNOVER_TOO_LOW
ABINFRA,1620,1.5042,0,0.04953,N,TURNOVER_TOO_LOW
ABMINTLLTD,2007,0.0149,1,0.0714,N,TURNOVER_TOO_LOW
ABREL,1959,32.9254,0,0.03414,Y,
ACCURACY,1879,0.0509,0,0.05634,N,TURNOVER_TOO_LOW
ACEINTEG,2006,0.0066,0,0.06947,N,TURNOVER_TOO_LOW
ACL,2008,0.2562,0,0.05983,N,TURNOVER_TOO_LOW
ADANIENSOL,1941,189.1895,0,0.02668,N,TURNOVER_TOO_HIGH
ADFFOODS,2009,3.3185,1,0.0369,N,TURNOVER_TOO_LOW
ADROITINFO,2008,0.0681,0,0.06153,N,TURNOVER_TOO_LOW
AEGISLOG,1959,74.1388,1,0.0335,Y,
AGARIND,2008,1.9953,1,0.03852,N,TURNOVER_TOO_LOW
AGROPHOS,2008,0.1013,0,0.05108,N,TURNOVER_TOO_LOW
AHLADA,1815,0.1518,1,0.05598,N,TURNOVER_TOO_LOW
AHLEAST,2008,0.058,0,0.04564,N,TURNOVER_TOO_LOW
AIRAN,2009,0.2843,3,0.05366,N,TURNOVER_TOO_LOW
AIROLAM,2007,0.0398,0,0.044,N,TURNOVER_TOO_LOW
AJOONI,2004,0.1915,2,0.04517,N,TURNOVER_TOO_LOW
AKASH,2007,0.1712,3,0.06366,N,TURNOVER_TOO_LOW
AKG,1816,0.112,0,0.03882,N,TURNOVER_TOO_LOW
AKSHARCHEM,2008,0.1236,0,0.04617,N,TURNOVER_TOO_LOW
ALANKIT,2008,0.2353,0,0.0435,N,TURNOVER_TOO_LOW
ALBERTDAVD,2008,0.2168,0,0.02903,N,TURNOVER_TOO_LOW
ANANTRAJ,1959,354.7541,1,0.03617,N,TURNOVER_TOO_HIGH
ANUP,1721,6.0295,1,0.03913,Y,
